3.288220032118261	0
4.265939991455525	1
5.242994986474514	2
22.22274400992319	3
23.1244380120188	4
24.046629026997834	5
24.947123019956052	6
25.85505199385807	7
26.755452039651573	8
27.6605460094288	9
28.56567600974813	10
49.47569698560983	11
50.37716502556577	12
51.2782380101271	13
52.1802130388096	14
53.08232503011823	15
69.98699001269415	16
70.88764000218362	17
71.78831403143704	18
72.68971303710714	19
89.59522098302841	20
90.49575100652874	21
91.40779299195856	22
92.30834001209587	23
93.21344998897985	24
94.12141999928281	25
95.02190200146288	26
95.92702303780243	27
96.83212504023686	28
115.3247689944692	29
133.6299970280379	30
134.53523704083636	31
135.43563103303313	32
136.34077704045922	33
153.26860803179443	34
154.18140700785443	35
155.08667699759826	36
155.99182399455458	37
156.8969400250353	38
157.80598600395024	39
158.76372903585434	40
177.30100301560014	41
180.60599302407354	42
197.99017498735338	43
198.90021899482235	44
199.80549300089478	45
200.74191002640873	46
217.66930201556534	47
218.5791390365921	48
219.4797830306925	49
220.4215070232749	50
222.89281600387767	51
232.79596801148728	52
234.0387289877981	53
234.93947903625667	54
235.8446120051667	55
236.74976802431047	56
237.65793500933796	57
238.5631279903464	58
239.46824698941782	59
240.4047169839032	60
241.3125170278363	61
242.2129680053331	62
243.1180999847129	63
244.02325198752806	64
244.92840201128274	65
245.83859799895436	66
246.7391110258177	67
247.6622060057707	68
248.56272002216429	69
249.4716210057959	70
250.5724100046791	71
252.0241430029273	72
253.62817099085078	73
255.29316801112145	74
257.0050390204415	75
259.0827930252999	76
262.39808299578726	77
265.3766819857992	78
266.2820700206794	79
267.18724198872223	80
268.0923680309206	81
268.99749698350206	82
269.9034250108525	83
270.80888499040157	84
271.7140539898537	85
272.61944400379434	86
273.52829702431336	87
274.4288130197674	88
275.33408801537007	89
276.24194003874436	90
277.14705403195694	91
278.05436099879444	92
278.95482402527705	93
279.875134001486	94
280.77577403746545	95
281.69739100849256	96
282.7176480204798	97
283.6257030139677	98
284.52615899732336	99
